question,answer,source,focus_area
What are the treatments for Depression ?,"A bushy, wild-growing plant with yellow flowers, St John's wort has been used for centuries in many folk and herbal remedies. It is commonly used in Europe to treat mild depression, and it is a top-seller in the United States as well. In a study funded by the National Institutes of Health, the herb was found to be no more effective than a placebo (sugar pill) in treating adults suffering from major depression. Other research has shown that St. John's wort can interact unfavorably with other drugs. The herb interferes with certain drugs used to treat heart disease, depression, seizures, certain cancers, and organ transplant rejection. Because of these potential interactions, older adults should always consult with their doctors before taking any herbal supplement. Another product sold as a dietary supplement, S-adenosyl methionine (SAMe), has shown promise in controlled trials as helpful when added to an SSRI antidepressant that is only partially effective.",NIHSeniorHealth,Depression
What are the treatments for Depression ?,"Several studies are looking at ways to help older adults get better access to depression treatment. One is developing and testing an education and intervention program to help primary care clinics and providers identify and treat late-life depression. Another study found that depressed older adults who had a ""care manager"" monitor their symptoms, side effects, and progress got better more quickly -- and stayed better longer -- than those who did not have case-managed care. Still other projects are investigating ways of improving older adults engagement in and ability to follow treatment plans for depression. Researchers are also looking at ways to -  better understand the relationship between other medical illnesses and depression  - integrate treatment for depression with treatments for other medical conditions a person may have  - produce a quicker response to treatment  - develop new methods for delivering treatment to those who are homebound, unable to move around without assistance, or who live in rural areas. (e.g., via use of telephonic or internet-assisted therapies)  - help prevent depression by keeping it from developing or recurring in those at risk or by preventing those with milder symptoms from progressing to more severe episodes of depression.  better understand the relationship between other medical illnesses and depression integrate treatment for depression with treatments for other medical conditions a person may have produce a quicker response to treatment develop new methods for delivering treatment to those who are homebound, unable to move around without assistance, or who live in rural areas. (e.g., via use of telephonic or internet-assisted therapies) help prevent depression by keeping it from developing or recurring in those at risk or by preventing those with milder symptoms from progressing to more severe episodes of depression.",NIHSeniorHealth,Depression
What is (are) Problems with Smell ?,"Our sense of smell helps us enjoy life. We delight in the aromas of our favorite foods or the fragrance of flowers. Our sense of smell also is a warning system, alerting us to danger signals such as a gas leak, spoiled food, or a fire. Any loss in our sense of smell can have a negative effect on our quality of life. It also can be a sign of more serious health problems. Aging and Smell Loss Problems with smell increase as people get older, and they are more common in men than women. In one study, nearly one-quarter of men ages 6069 had a smell disorder, while about 11 percent of women in that age range reported a problem. Many older people are not even aware that they have a problem with their sense of smell because the changes occur gradually over several years. They may not even notice that they are experiencing a loss of smell until there is an incident in which they don't detect food that has spoiled or the presence of dangerous smoke. How Our Sense of Smell Works The sense of smell, or olfaction, is part of our chemical sensing system, along with the sense of taste. Normal smell occurs when odors around us, like the fragrance of flowers or the smell of baking bread, stimulate the specialized sensory cells, called olfactory sensory cells. Olfactory sensory cells are located in a small patch of tissue high inside the nose. Odors reach the olfactory sensory cells in two pathways. The first pathway is by inhaling, or sniffing, through your nose. When people think about smell, they generally think of this pathway. The second pathway is less familiar. It is a channel that connects the roof of the throat region to the nose. When we chew our food, aromas are released that access olfactory sensory cells through this channel. If you are congested due to a head cold or sinus infection, this channel is blocked, which temporarily affects your ability to appreciate the flavors of food. Types of Smell Disorders People who experience smell disorders either have a decrease in their ability to smell or changes in the way they perceive odors. Total smell loss is relatively rare, but a decrease in the sense of smell occurs more often, especially in older adults. A decreased sense of smell may be temporary and treatable with medication. There are several types of smell disorders depending on how the sense of smell is affected. -  Some people have hyposmia, which occurs when their ability to detect certain odors is reduced.   - Other people can't detect odor at all, which is called anosmia.   - Sometimes a loss of smell can be accompanied by a change in the perception of odors. This type of smell disorder is called dysosmia. Familiar odors may become distorted, or an odor that usually smells pleasant instead smells foul.   - Still others may perceive a smell that isn't present at all, which is called phantosmia.   - Smell loss due to aging is called presbyosmia.  Some people have hyposmia, which occurs when their ability to detect certain odors is reduced. Other people can't detect odor at all, which is called anosmia.  Sometimes a loss of smell can be accompanied by a change in the perception of odors. This type of smell disorder is called dysosmia. Familiar odors may become distorted, or an odor that usually smells pleasant instead smells foul. Still others may perceive a smell that isn't present at all, which is called phantosmia.  Smell loss due to aging is called presbyosmia. Smell Loss May Signal Other Conditions Problems with our chemical senses may be a sign of other serious health conditions. A smell disorder can be an early sign of Parkinsons disease, Alzheimers disease, or multiple sclerosis. It can also be related to other medical conditions, such as obesity, diabetes, hypertension, and malnutrition. Getting a diagnosis early will help an individual deal better with the underlying condition or disease. Smell and Taste Smell and taste are closely linked in the brain, but are actually distinct sensory systems. True tastes are detected by taste buds on the tongue and the roof of the mouth, as well as in the throat region, and are limited to sweet, salty, sour, bitter, savory and perhaps a few other sensations. The loss of smell is much more common than the loss of taste, and many people mistakenly believe they have a problem with taste, when they are really experiencing a problem with their sense of smell. A loss in taste or smell is diagnosed by your doctor using special taste and smell tests. Smell Loss and Eating Habits When smell is impaired, people usually have problems appreciating the subtle flavors of food, and say that food is less enjoyable. Some people change their eating habits. Some may eat too little and lose weight while others may eat too much and gain weight. Either way, there may be a long-term impact on one's overall health. Loss of smell may also cause us to eat too much sugar or salt to make our food taste better. This can be a problem for people with certain medical conditions, such as diabetes or high blood pressure. In severe cases, loss of smell can lead to depression. Hazards of Smell Loss Research shows that people with a total or partial loss of smell are almost twice as likely as people with normal smell to have certain kinds of accidents. The most common types of accidents in order of frequency involve - cooking   - eating or drinking spoiled foods or toxic substances   - failing to detect gas leaks or fires  cooking eating or drinking spoiled foods or toxic substances failing to detect gas leaks or fires If you think you have a problem with your sense of smell, see your doctor.",NIHSeniorHealth,Problems with Smell
What causes Problems with Smell ?,"Problems with smell happen for many reasons, some clearer than others. Loss of smell may be permanent or temporary, depending on the cause. Effects of Aging As with vision and hearing, people gradually lose their ability to smell as they get older. Smell that declines with age is called presbyosmia and is not preventable. Age is only one of the many reasons that problems with smell can occur. Most people who develop a problem with smell have recently had an illness or injury. Common Causes The common causes of smell disorders are -  sinus and upper respiratory infections   - aging   - smoking  - nasal polyps   - head injury   - allergies  - hormonal disturbances  - dental problems  - exposure to certain chemicals   - numerous medications   - radiation for treatment of head and neck cancers  - diseases of the nervous system. sinus and upper respiratory infections aging smoking nasal polyps head injury allergies hormonal disturbances dental problems exposure to certain chemicals numerous medications radiation for treatment of head and neck cancers diseases of the nervous system. Sinus and Upper Respiratory Infections. The most common causes of smell problems are the common cold and chronic nasal or sinus infection. Respiratory infections such as the flu can lead to smell disorders. Swollen sinuses and nasal passages often result in problems with smell because the odors in the air do not have good access to the olfactory sensory cells. These conditions may cause total or partial loss of smell. The problem usually diminishes or goes away when the underlying medical condition clears up. Aging. Problems with smell become more common as people get older. A person's sense of smell generally declines when he or she is over 60. Smoking. Tobacco smoking is the most concentrated form of pollution that most people are exposed to. It impairs the ability to identify and enjoy odors. Nasal Polyps. Loss of smell can be caused by nasal polyps, which are small, non-cancerous growths in the nose or sinuses that can block the ability of odors to reach olfactory sensory cells high up in the nose. In rare cases, benign non-malignant tumors grow on the olfactory nerves leading to the brain, causing a loss of smell. Previous surgery or trauma to the head can impair your sense of smell because the olfactory nerves may be cut, blocked, or physically damaged. Automobile accidents are among the most frequent causes of trauma to the face and head. Allergies. If your smell disorder is caused by allergies and seasonal nasal congestion, you should avoid allergens, such as ragweed, grasses, and pet dander. Exposure to Certain Chemicals. Sometimes exposure to certain chemicals, such as insecticides and solvents, can permanently damage the sense of smell. Medications.  If you are taking certain medicines, you may notice a change in your ability to smell. Certain medications, including some common antibiotics and antihistamines, can cause problems with smell. The sense of smell usually returns to normal when you stop taking the medicine. Radiation Treatment.  People with head and neck cancers who receive radiation treatment to the nose and mouth regions commonly experience problems with their sense of smell and taste as an unfortunate side effect. Older people who have lost their larynx or voice box commonly complain of poor ability to smell and taste. Diseases of the Nervous System. Sometimes a problem with smell can be a sign of a more serious health problem. This might include diseases of the nervous system, such as Parkinson's disease or Alzheimer's disease. Loss of smell may be the first sign that something is wrong. Check with your doctor if you've been experiencing a problem with your sense of smell for a while. You may be able to prevent or get early treatment for a more serious health problem.",NIHSeniorHealth,Problems with Smell
What are the symptoms of Problems with Smell ?,"A Reduced Sense of Smell There are several types of smell disorders depending on how the sense of smell is affected. People who have smell disorders experience either a loss in their ability to smell or changes in the way they perceive odors. Some people have hyposmia, which occurs when their ability to detect certain odors is reduced. This smell disorder is common in people who have upper respiratory infections or nasal congestion. This is usually temporary and goes away when the infection clears up. If You Can't Detect Odor at All Other people can't detect odor at all, which is called anosmia. This type of smell disorder is sometimes the result of head trauma in the nose region, usually from an automobile accident or chronic nasal or sinus infections. It can sometimes be caused by aging. In rare cases, anosmia is inherited. If Your Sense of Smell Is Distorted Sometimes a loss of smell can be accompanied by a change in the perception of odors. This type of smell disorder is called dysosmia. Familiar odors may become distorted, or an odor that usually smells pleasant instead smells foul. Sometimes people with this type of smell disorder also experience headaches, dizziness, shortness of breath, or anxiety. Still others may perceive a smell that isn't present at all, which is called phantosmia. Questions To Ask Yourself If you think you have a problem with your sense of smell, try to identify and record the circumstances at the time you first noticed the problem. Ask yourself the following questions: - When did I first become aware of it?  - Did I have a cold or the flu?  - Did I have a head injury?  - Was I exposed to air pollutants, pollens, pet dander, or dust to which I might be allergic?   - Is this a recurring problem?   - Does it come at any special time, like during the hay fever season? When did I first become aware of it? Did I have a cold or the flu? Did I have a head injury? Was I exposed to air pollutants, pollens, pet dander, or dust to which I might be allergic? Is this a recurring problem? Does it come at any special time, like during the hay fever season? Bring this information with you when you visit your physician. Also, be prepared to tell him or her about your general health and any medications you are taking. Talking With Your Doctor Diagnosis by a doctor is important to identify and treat the underlying cause of a potential smell disorder. Your doctor may refer you to an otolaryngologist, a specialist in diseases of the ear, nose, and throat. An accurate assessment of a smell disorder will include, among other things, - a physical examination of the ears, nose, and throat   - a review of your health history, such as exposure to toxic chemicals or injury, and   - a smell test supervised by a health care professional. a physical examination of the ears, nose, and throat a review of your health history, such as exposure to toxic chemicals or injury, and a smell test supervised by a health care professional. Tests for Smell Disorders Some tests measure the smallest amount of odor you can detect. You also may receive a ""scratch and sniff"" test to determine how well you can identify various odors from a list of possibilities. In this test, the odor is embedded in a circular pad on a piece of paper and released when scratched. In this way, doctors can determine whether a person has a decreased ability to smell (hyposmia), the inability to detect any odors (anosmia), or another kind of smell disorder. In some cases, your doctor may need to perform a nasal examination with a nasal endoscope, an instrument that illuminates and magnifies the areas of the nose where the problem may exist. This test can help identify the area and extent of the problem and help your doctor select the right treatment. If your doctor suspects that upper regions of the nose and nasal sinuses that can't be seen by an endoscope are involved, he or she may order a specialized X-ray procedure, usually a CT scan, to look further into the nose and sinuses. When to See the Doctor If you think you have a smell disorder, see your doctor. Diagnosis of a smell disorder is important because once the cause is found, your doctor may be able to treat your smell disorder. Many types of smell problems are reversible, but if they are not, counseling and self-help techniques may help you cope.",NIHSeniorHealth,Problems with Smell
What are the treatments for Problems with Smell ?,"Relief is Possible Although there is no treatment for presbyosmia -- loss of smell due to aging -- relief from smell disorders is possible for many older people. Depending on the cause of your problem with smell, your doctor may be able to treat it or suggest ways to cope with it. Recovering the Ability To Smell Some people recover their ability to smell when they recover from the illness causing their loss of smell. Some people recover their sense of smell spontaneously, for no obvious reason. Other common causes of smell loss, such as the common cold or seasonal allergies, are usually temporary. Smell is regained by waiting for the illness to run its course. In some cases, nasal obstructions, such as polyps, can be removed to restore airflow through the nasal passages and restore the sense of smell. If your smell disorder cant be successfully treated, you might want to seek counseling to help you adjust. Ask About Your Medications Sometimes a certain medication causes a smell disorder, and improvement occurs when the medicine causing the problem is stopped or changed. If you take medications, ask your doctor if they can affect your sense of smell. If so, ask if you could substitute other medications or reduce the dose. Your doctor will work with you to get the medicine you need while trying to reduce unwanted side effects. Medications That May Help Your doctor may suggest oral steroid medications such as prednisone, which is usually used for a short period of time, or topical steroid sprays, which can be used for longer periods of time. Antibiotics are also used to treat nasal infections. The effectiveness of both steroids and antibiotics depends greatly on the severity and duration of the nasal swelling or infection. Often relief is temporary. Occasionally, the sense of smell returns to normal on its own without any treatment. Steps You Can Take If you have a problem with smell, there are some things you can do. - Wait it out. If you have had a cold with a stuffy nose, chances are in a few days your sense of smell will return. However, you should not wait to see your doctor if you think something more serious has caused your loss of smell or you have had the problem for a while. Loss of smell can sometimes mean a more serious condition exists.  Wait it out. If you have had a cold with a stuffy nose, chances are in a few days your sense of smell will return. However, you should not wait to see your doctor if you think something more serious has caused your loss of smell or you have had the problem for a while. Loss of smell can sometimes mean a more serious condition exists. - Sweat it out. If your nose is stuffed up from a cold, sometimes mild exercise or the steam from a hot shower may open up your nasal passages. Sweat it out. If your nose is stuffed up from a cold, sometimes mild exercise or the steam from a hot shower may open up your nasal passages. - Stop smoking. Smoking causes long-term damage to your sense of smell. If you quit smoking, you may notice some improvement. To get free help quitting, visit  www.Smokefree.gov Stop smoking. Smoking causes long-term damage to your sense of smell. If you quit smoking, you may notice some improvement. To get free help quitting, visit  www.Smokefree.gov - Check with your doctor. If your sense of smell seems to have disappeared or changed, or if you've noticed the problem for a while, see your doctor for help. Sometimes, especially with a sinus infection, taking antibiotics for a short period of time may remedy the problem. If there is a blockage or you have a chronic sinus condition, outpatient surgery may be called for.  Check with your doctor. If your sense of smell seems to have disappeared or changed, or if you've noticed the problem for a while, see your doctor for help. Sometimes, especially with a sinus infection, taking antibiotics for a short period of time may remedy the problem. If there is a blockage or you have a chronic sinus condition, outpatient surgery may be called for. If Your Smell Loss Is Permanent If you do not regain your sense of smell, there are things you should do to ensure your safety. Take extra precautions to avoid eating food that may have spoiled. If you live with other people, ask them to smell the food to make sure it is fresh. People who live alone should discard food if there is a chance it is spoiled. Other home safety measures include installing smoke alarms and gas detectors. For those who wish to have additional help, there may be support groups in your area. These are often associated with smell and taste clinics in medical school hospitals. Some online bulletin boards also allow people with smell disorders to share their experiences. Not all people with smell disorders will regain their sense of smell, but most can learn to live with it. Ongoing Research The National Institute on Deafness and Other Communication Disorders (NIDCD) supports basic and clinical investigations of smell and taste disorders at its laboratories in Bethesda, Md. and at universities and chemosensory research centers across the country. These chemosensory scientists are exploring how to -  promote the regeneration of sensory nerve cells   - understand the effects of the environment (such as gasoline fumes, chemicals, and extremes of humidity and temperature) on smell and taste   - prevent the effects of aging on smell and taste   - develop new diagnostic tests for taste and smell disorders   - understand associations between smell disorders and changes in diet and food preferences in the elderly or among people with chronic illnesses.  promote the regeneration of sensory nerve cells understand the effects of the environment (such as gasoline fumes, chemicals, and extremes of humidity and temperature) on smell and taste prevent the effects of aging on smell and taste develop new diagnostic tests for taste and smell disorders understand associations between smell disorders and changes in diet and food preferences in the elderly or among people with chronic illnesses.",NIHSeniorHealth,Problems with Smell
What is (are) Problems with Smell ?,"Smell is part of our chemical sensing system. Our sense of smell is the ability to detect odors in our environment through our nose, like the fragrance of flowers or the smell of baking bread. Smell is also the ability to detect food odors or aromas released in our mouths when we chew, which then flow from the roof of the throat region to the nose. Congestion blocks this flow and impacts our appreciation of the flavor of food.",NIHSeniorHealth,Problems with Smell
What are the symptoms of Problems with Smell ?,"People who experience smell disorders either have a decrease in their ability to smell or changes in the way they perceive odors. Total smell loss is relatively rare, but a decrease in the sense of smell occurs more often, especially in older adults. There are several types of smell disorders depending on how the sense of smell is affected. - Some people have hyposmia, which occurs when their ability to detect certain odors is reduced.  - Other people can't detect odor at all, which is called anosmia.   - Sometimes a loss of smell can be accompanied by a change in the perception of odors. This type of smell disorder is called dysosmia. Familiar odors may become distorted, or an odor that usually smells pleasant instead smells foul.   - Still others may perceive a smell that isn't present at all, which is called phantosmia.   - Smell loss due to aging is called presbyosmia.  Some people have hyposmia, which occurs when their ability to detect certain odors is reduced. Other people can't detect odor at all, which is called anosmia. Sometimes a loss of smell can be accompanied by a change in the perception of odors. This type of smell disorder is called dysosmia. Familiar odors may become distorted, or an odor that usually smells pleasant instead smells foul. Still others may perceive a smell that isn't present at all, which is called phantosmia. Smell loss due to aging is called presbyosmia.",NIHSeniorHealth,Problems with Smell
What causes Problems with Smell ?,"Most people who have a problem with smell have recently had an illness or injury. The most common causes are upper respiratory infections, such as the common cold, and chronic sinus or nasal disease. Other common causes are -  aging   - smoking  - nasal polyps   - head injury   - allergens such as ragweed, grasses, and pet dander  - hormonal disturbances  - dental problems  - exposure to certain chemicals such as insecticides or solvents   - medications such as antibiotics or antihistamines   - radiation for treatment of head and neck cancers  - diseases of the nervous system such as Parkinsons disease or Alzheimers disease.  aging smoking nasal polyps head injury allergens such as ragweed, grasses, and pet dander hormonal disturbances dental problems exposure to certain chemicals such as insecticides or solvents medications such as antibiotics or antihistamines radiation for treatment of head and neck cancers diseases of the nervous system such as Parkinsons disease or Alzheimers disease.",NIHSeniorHealth,Problems with Smell
How to prevent Problems with Smell ?,"Problems with smell that occur with aging are not preventable. However, you can protect yourself against other causes of smell loss with these steps. - Treat Sinus and Nasal Conditions. Swollen sinuses and nasal passages may cause total or partial loss of smell. Your doctor may prescribe an antibiotic or anti-inflammatory drug to reduce nasal swelling from chronic sinus infections, a major cause of smell loss. Treat Sinus and Nasal Conditions. Swollen sinuses and nasal passages may cause total or partial loss of smell. Your doctor may prescribe an antibiotic or anti-inflammatory drug to reduce nasal swelling from chronic sinus infections, a major cause of smell loss. -  Prevent Upper Respiratory Infections. Colds and respiratory infections such as the flu can lead to smell disorders. Wash your hands frequently, especially during the winter months, and get a flu shot every year. For more information about the flu vaccine, visit  Key Facts About Seasonal Flu Vaccine Prevent Upper Respiratory Infections. Colds and respiratory infections such as the flu can lead to smell disorders. Wash your hands frequently, especially during the winter months, and get a flu shot every year. For more information about the flu vaccine, visit  Key Facts About Seasonal Flu Vaccine - Avoid Allergens. Keep away from allergens such as ragweed, grasses, and pet dander that can cause seasonal allergies or nasal congestion.  Avoid Allergens. Keep away from allergens such as ragweed, grasses, and pet dander that can cause seasonal allergies or nasal congestion. - Avoid Head Injuries. Previous surgery or trauma to the head can impair your sense of smell because the olfactory nerves may be cut, blocked, or physically damaged. Always wear seatbelts when riding in a car and a helmet when bicycling. Avoid Head Injuries. Previous surgery or trauma to the head can impair your sense of smell because the olfactory nerves may be cut, blocked, or physically damaged. Always wear seatbelts when riding in a car and a helmet when bicycling. - Avoid Exposure to Toxic Chemicals. Avoid contact with chemicals that might cause smell problems such as paints, insecticides, and solvents, or wear a respirator if you cannot avoid contact. Avoid Exposure to Toxic Chemicals. Avoid contact with chemicals that might cause smell problems such as paints, insecticides, and solvents, or wear a respirator if you cannot avoid contact. - Review Your Medications. If you are taking medications such as antibiotics or antihistamines and notice a change in your sense of smell, talk to your doctor. You may be able to adjust or change your medicine to one that will not cause a problem with smell.  Review Your Medications. If you are taking medications such as antibiotics or antihistamines and notice a change in your sense of smell, talk to your doctor. You may be able to adjust or change your medicine to one that will not cause a problem with smell. - Dont Smoke. It impairs the ability to identify and enjoy odors. For free help to quit smoking, visit www.Smokefree.gov   Dont Smoke. It impairs the ability to identify and enjoy odors. For free help to quit smoking, visit www.Smokefree.gov  -  Treat Nasal Polyps If Necessary.  If you have nasal polyps, having them removed may restore smell.   Treat Nasal Polyps If Necessary.  If you have nasal polyps, having them removed may restore smell. -  Treat Other Conditions. If you have diabetes, thyroid abnormalities, certain vitamin deficiencies, or are malnourished and you experience a loss of smell or taste, tell your doctor. In some cases, when the condition that is causing the problem with smell is treated, the sense of smell returns.   Treat Other Conditions. If you have diabetes, thyroid abnormalities, certain vitamin deficiencies, or are malnourished and you experience a loss of smell or taste, tell your doctor. In some cases, when the condition that is causing the problem with smell is treated, the sense of smell returns.",NIHSeniorHealth,Problems with Smell
What causes Problems with Smell ?,"In rare cases, certain medicines such as antibiotics or antihistamines may cause a change in your ability to smell. If you are taking these medications and notice a change in your sense of smell, talk to your doctor. You may be able to adjust or change your medicine to one that will not cause a problem with smell.",NIHSeniorHealth,Problems with Smell
How to diagnose Problems with Smell ?,"Scientists have developed tests to determine the nature and extent of a person's smell disorder. Tests measure the smallest amount of odor patients can detect as well as how accurately a person can identify different smells. An easily administered ""scratch and sniff"" test allows a person to scratch pieces of paper treated to release different odors, sniff them, and try to identify each odor from a list of possibilities. In this way, doctors can determine whether a person has a decreased ability to smell (hyposmia), the inability to detect any odors (anosmia), or another kind of smell disorder. In some cases, your doctor may need to perform a nasal examination with a nasal endoscope, an instrument that illuminates and magnifies the areas of the nose where the problem may exist. This test can help identify the area and extent of the problem and help your doctor select the right treatment. If your doctor suspects that upper regions of the nose and nasal sinuses that can't be seen by an endoscope are involved, he or she may order a specialized X-ray procedure, usually a CT scan, to look further into the nose and sinuses.",NIHSeniorHealth,Problems with Smell
What are the treatments for Problems with Smell ?,"Depending on the cause of your smell disorder, your doctor may be able to treat your problem or suggest ways to cope with it. If a certain medication is the cause of the disorder, ask your doctor if you could substitute other medications or reduce the dose. Your doctor will work with you to get the medicine you need while trying to reduce unwanted side effects. Some patients with respiratory infections or allergies regain their sense of smell when the illness or condition is over. Often, correcting a general medical problem also can restore the sense of smell. For patients with nasal obstructions, such as polyps, or other inflammatory conditions of the nose or sinuses, medical treatments or surgery can restore the sense of smell. Occasionally, the sense of smell returns to normal on its own, without any treatment. Your doctor may suggest oral steroid medications such as prednisone, which is usually used for a short period of time, or topical steroid sprays, which can be used for longer periods of time. Antibiotics are also used to treat nasal infections. The effectiveness of both steroids and antibiotics depends greatly on the severity and duration of the nasal swelling or infection. Often relief is temporary.",NIHSeniorHealth,Problems with Smell
What is (are) Problems with Smell ?,"You can help your doctor make a diagnosis by writing down important information about your problem beforehand and giving the information to your doctor during your visit. Write down answers to the following questions. - When did I first become aware of the problem?  - Did I have a cold or the flu?  - Did I have a head injury?   - Was I exposed to air pollutants, pollen, pet dander, or dust to which I might be allergic?  - Is this a recurring problem?  - Does it come at any special time, such as during the hay fever season? When did I first become aware of the problem? Did I have a cold or the flu? Did I have a head injury? Was I exposed to air pollutants, pollen, pet dander, or dust to which I might be allergic? Is this a recurring problem? Does it come at any special time, such as during the hay fever season?",NIHSeniorHealth,Problems with Smell
what research (or clinical trials) is being done for Problems with Smell ?,"The National Institute on Deafness and Other Communication Disorders (NIDCD) supports basic and clinical investigations of smell and taste disorders at its laboratories in Bethesda, Md. and at universities and chemosensory research centers across the country. These chemosensory scientists are exploring how to - promote the regeneration of sensory nerve cells   - understand the effects of the environment (such as gasoline fumes, chemicals, and extremes of humidity and temperature) on smell and taste  - prevent the effects of aging on smell and taste   - develop new diagnostic tests for taste and smell disorders   - understand associations between smell disorders and changes in diet and food preferences in the elderly or among people with chronic illnesses.  promote the regeneration of sensory nerve cells understand the effects of the environment (such as gasoline fumes, chemicals, and extremes of humidity and temperature) on smell and taste prevent the effects of aging on smell and taste develop new diagnostic tests for taste and smell disorders understand associations between smell disorders and changes in diet and food preferences in the elderly or among people with chronic illnesses.",NIHSeniorHealth,Problems with Smell
What is (are) Breast Cancer ?,"How Tumors Form The body is made up of many types of cells. Normally, cells grow, divide and produce more cells as needed to keep the body healthy. Sometimes, however, the process goes wrong. Cells become abnormal and form more cells in an uncontrolled way. These extra cells form a mass of tissue, called a growth or tumor. Tumors can be benign, which means not cancerous, or malignant, which means cancerous. Breast cancer occurs when malignant tumors form in the breast tissue. Who Gets Breast Cancer?  Breast cancer is one of the most common cancers in American women. It is most common among women between the ages of 45-85. (Watch the video to learn more about breast cancer survival rates. To enlarge the videos appearing on this page, click the brackets in the lower right-hand corner of the video screen. To reduce the videos, press the Escape (Esc) button on your keyboard.) Men can get breast cancer too, although they account for only 1 percent of all reported cases. Read more about breast cancer in men.  When Breast Cancer Spreads When cancer grows in breast tissue and spreads outside the breast, cancer cells are often found in the lymph nodes under the arm. If the cancer has reached these nodes, it means that cancer cells may have spread, or metastasized, to other parts of the body. When cancer spreads from its original location in the breast to another part of the body such as the brain, it is called metastatic breast cancer, not brain cancer. Doctors sometimes call this ""distant"" disease.  Learn about different kinds of breast cancer. Breast Cancer is Not Contagious Breast cancer is not contagious. A woman cannot ""catch"" breast cancer from other women who have the disease. Also, breast cancer is not caused by an injury to the breast. Most women who develop breast cancer do not have any known risk factors or a history of the disease in their families. Treating and Surviving Breast Cancer  Today, more women are surviving breast cancer than ever before. Nearly three million women are breast cancer survivors. (Watch the video to hear a woman discuss surviving breast cancer.) There are several ways to treat breast cancer, but all treatments work best when the disease is found early. As a matter of fact, when it is caught in its earliest stage, 98.5 percent of women with the disease are alive five years later. Every day researchers are working to find new and better ways to detect and treat cancer. Many studies of new approaches for women with breast cancer are under way. With early detection, and prompt and appropriate treatment, the outlook for women with breast cancer can be positive. To learn more about what happens after treatment, see  Surviving Cancer.",NIHSeniorHealth,Breast Cancer
